alias,first,last,url
perin,Charles,Perin,http://charlesperin.net
thudt,Alice,Thudt,http://alicethudt.de/
carpendale,Sheelagh,Carpendale,http://pages.cpsc.ucalgary.ca/~sheelagh/
vuillemot,Romain,Vuillemot,http://romain.vuillemot.net/
fekete,Jean-Daniel,Fekete,http://www.aviz.fr/~fekete/
aseniero,Bon Adriel,Aseniero,http://bonadriel.com/
andre,Elisabeth,André,https://www.informatik.uni-augsburg.de/lehrstuehle/hcm/staff/andre/
botros,Fadi,Botros,
boy,Jeremy,Boy,http://jyby.eu/
collins,Christopher,Collins,http://vialab.science.uoit.ca/
divozzo,Romain,Di Vozzo,https://romaindivozzo.wordpress.com/
dragicevic,Pierre,Dragicevic,https://www.lri.fr/~dragice/
flemisch,Tamara,Flemisch,
gutwin,Carl,Gutwin,http://hci.usask.ca/people/view.php?id=2
hall,Kyle,Hall,
hancock,Mark,Hancock,https://markhancock.ca/
hosseinkhani,Mona,Hosseinkhani Loorak,http://www.ucalgary.ca/mhosseinkhani/
huron,Samuel,Huron,http://www.cybunk.com/blog2/fr/a-propos/
koytek,Philipp,Koytek,
legoc,Mathieu,Le Goc,http://www.aviz.fr/mathieu
macdonald,Lindsay,MacDonald,http://www.lindsaymacdonald.net/
pusch,Richard,Pusch,
rajabiyazdi,Fateme,Rajabiyazdi,http://innovis.cpsc.ucalgary.ca/Publications/FatemeRajabiyazdi
sadeghi,Javad,Sadeghi,
tory,Melanie,Tory,https://research.tableau.com/user/melanie-tory
walny,Jagoda,Walny,http://research.jagoda.ca/
willett,Wesley,Willett,http://www.wjwillett.net/
wun,Tiffany,Wun,
oehlberg,Lora,Oehlberg,http://pages.cpsc.ucalgary.ca/~lora.oehlberg/
greenberg,Saul,Greenberg,http://saul.cpsc.ucalgary.ca/
gromala,Diane,Gromala,http://www.sfu.ca/~dgromala/VR/index.html
macleod,Haley,MacLeod,http://www.haleymacleod.com/
vermeulen,Jo,Vermeulen,http://jovermeulen.com/
kusalik,Peter,Kusalik,http://people.ucalgary.ca/~pkusalik/
vernier,Frédéric,Vernier,https://perso.limsi.fr/vernier/
bach,Benjamin,Bach,http://www.aviz.fr/~bbach/
lay,Sebastian,Lay,
donovan,Eric,Donovan,http://aurora.phys.ucalgary.ca/donovan/
dachselt,Raimund,Dachselt,https://mt.inf.tu-dresden.de/~dachselt/
vardeleon,Riane,Vardeleon,
babione,Julie,Babione,http://www.w21c.org/rdy_team/julie-babione/
tropiano,Joseph,Tropiano,
dufournaud,Nicole,Dufournaud,http://nicole.dufournaud.org/
isenbergt,Tobias,Isenberg,https://tobias.isenberg.cc/
spritzer,Andre,Spritzer,https://andrespritzer.com/en/
jansen,Yvonne,Jansen,http://yvonnejansen.me/
isenbergp,Petra,Isenberg,https://petra.isenberg.cc
lino,Christophe,Lino,https://sites.google.com/site/christophelino/
christie,Marc,Christie,http://people.irisa.fr/Marc.Christie/
hill,Michael,Hill,https://www.ucalgary.ca/dcns/about-dcns/faculty/hill-michael
kamal,Naureen,Kamal,
sargious,Peter,Sargious,
ghali,William,Ghali,
kaufman,Jaime,Kaufman,http://www.w21c.org/rdy_team/jaime-kaufman/
santana,Maria,Santana,
fallah,Roxane,Fallah,http://www.designdotstudio.com/about-us/
eggermont,Marjan,Eggermont,
tabard,Aurélien,Tabard,http://www.tabard.fr/
ivanov,Alexander,Ivanov,
liem,Johannes,Lien,http://digitalcartography.org/
mok,Terrance,Mok,http://terrancemok.com/
wood,Jo,Wood,https://www.gicentre.net/jwo/index/
sayici-17,Cansu,Sayici,
helfenbein-17,Daniel,Helfenbein,
suarez-17,Diana,Suarez,
shakhan-17,Hamza,Shakhan,
gondola-17,Jenni,Gondola,
kurtenbach-17,Megan,Kurtenbach,
robertson-17,Mhairi,Robertson,
patel_sunil-17,Sunil,Patel,
patel_tanika-17,Tanika,Patel,
ahmed-17,Mohammed,Ahmed,
awan-17,Uzair,Awan,
gamage-17,Dasuni,Gamage,
mirza-17,Jamedul,Mirza,
rockland-17,Otis,Rockland,
sandhu-17,Rajvinderjit,Sandhu,
uddin-17,Mohammed,Uddin-Junel,
