venue,2012,2013,2014,2015,2016,2017,2018,2019
information_plus,,,,,2,,8,
iv_journal,,,,,,2,,
eurovis_short,,,,2,,,,
chi_wip,,,,6,7,1,,
gi,,,,,2,1,4,
iss,1,,,,4,,,
infovis,,,3,4,5,7,6,
vast,,,1,,,,,
vast_challenge,,,3,3,,2,,
chi,,,1,3,5,3,3,3
eurovis,,,2,,1,1,1,
uist,,,1,,2,,,
ihm,,,2,2,1,1,,
pacificvis,,,,1,,,,
ijhcs,,,,1,,,,
eics,,,,1,,,,
tvcg,,,,,1,1,2,
cgf,,,,,1,,,
livvil,,,,,4,,,
pvis_workshop,,,,6,,,,
visualcol,,,,,1,,,
cga,,,,,,1,,
transimage,,,,,,,5,
cgis,,,,,,,1,
visap,,,,,,,4,
visguides,,,,,,,1,
